lake,depth,area,elev
nhdhr_47726570,29.565600000000018,1211979.38924298,320
nhdhr_59753059,17.06880000000001,1070613.45124592,320
nhdhr_59808243,17.373599999999954,93055.0801295732,319.999963626305
nhdhr_68840139,19.50720000000001,4838875.13886297,320
nhdhr_69885442,12.801600000000008,2895200,320
nhdhr_69886650,15.240000000000009,52418243.9361235,320
nhdhr_70332231,16.15440000000001,984835.930550575,320
nhdhr_74926427,32.808398950000026,59055775.73706,320
nhdhr_74926457,27.432000000000016,20798535.2906406,320
nhdhr_74926527,36.089238850000015,3235744.9877394,320
nhdhr_75651475,7.6200000000000045,114445.730127834,320
nhdhr_80004215,41.757600000000025,7534610.67538219,320
nhdhr_80005045,14.630400000000009,2726192.14595016,320
nhdhr_81002103,13.716000000000008,2665787.77136358,320
nhdhr_81642813,19.812000000000012,419466.043856269,320
nhdhr_83826087,1.8292682929999842,329725.78223295,320
nhdhr_86273851,9.144000000000005,867161.51234848,319.999999974671
nhdhr_86274219,4.572000000000003,1312254.69733397,320
nhdhr_86274695,18.28800000000001,1654064.04038154,320
nhdhr_86275155,5.181600000000003,271644.766533327,320
nhdhr_86275195,16.15440000000001,1111857.66425565,320
nhdhr_86275759,21.640800000000013,286195.534787868,320
nhdhr_86275955,12.801600000000008,456573.674864729,320
nhdhr_91593573,3.5,73702.7154828347,320
nhdhr_91593827,6.400800000000004,354235.643387954,320
nhdhr_91594453,4.876799999999946,357488.628294834,319.999874377932
nhdhr_91594459,3.5,282414.32981405,320
nhdhr_91594761,19.812000000000012,673629.535923424,320
nhdhr_91594833,14.630400000000009,1198298.93033427,320
nhdhr_91595565,3,100270.831641145,320
nhdhr_91595713,2.5,50102.8803407699,320
nhdhr_91595755,16.45920000000001,152672.418520027,320
nhdhr_91595845,13.106400000000008,53423.80478701,320
nhdhr_91595863,3,53748.5096184667,320
nhdhr_91595965,17.37360000000001,48662.5335258804,320
nhdhr_91596605,2.958000000000027,203275.598228876,320
nhdhr_91597015,6.096000000000004,209005.186147312,320
nhdhr_91597267,10.972800000000007,2390888.03534833,320
nhdhr_91597877,8.229600000000005,699900.777826287,320
nhdhr_91681839,2.7432000000000016,595212.117072836,320
nhdhr_91684449,12.496800000000007,2302239.46644894,320
nhdhr_91684979,14.020800000000008,881496.805769505,320
nhdhr_91685475,14.630400000000009,183594.643358991,320
nhdhr_91686757,7.6200000000000045,119513.686798463,320
nhdhr_91687083,2,126224.32781975,320
nhdhr_91688409,10.058400000000006,195476.17000412,320
nhdhr_91688455,20.116800000000012,821710.659093005,319.999950766938
nhdhr_91688775,4.800000000000011,386345,320
nhdhr_91688957,4.5,138053,320
nhdhr_91689611,4,54445.8505982161,320
nhdhr_91689717,3,119108.563864917,320
nhdhr_91689905,2,247489.282629162,320
nhdhr_91690129,3,154621.05822736,320
nhdhr_91690341,5,55761.3558124751,320
nhdhr_91690625,6.400800000000004,406346.828943852,320
nhdhr_91690679,13.411200000000008,177215.109522943,320
nhdhr_91691383,11.582400000000007,623150.493582777,319.999941843185
nhdhr_91691877,38.40480000000002,1039309.03887833,320
nhdhr_91692247,12.496800000000007,228917.158720487,320
nhdhr_91692261,2,44603.450361073,320
nhdhr_adfdf197-9f62-4650-8866-676709b89aee,17.67840000000001,102401284.959971,320
nhdhr_eec6bb9d-30cb-4c7d-bfc1-88e675b7d41b,16.254153980000012,5228027.208,320
